"","frasi","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"668","Il Matt di ieri sera ha lasciato il posto al solito ragazzo freddo e duro come il ghiaccio dei suoi occhi, ma almeno ha pensato a lasciarmi scritto qualcosa.",0,0,1,0,0,0,0,1,3,1
"669","Noto che Addison e Violet non sono rientrate stanotte, immagino siano rimaste entrambe a dormire da qualche ragazzo.",0,0,1,0,0,0,0,0,1,1
"670","Pranzo da sola, ma non ho molta fame in realtà.",0,0,0,0,0,0,0,0,0,0
"671","Sento dei crampi abbastanza dolorosi allo stomaco, devo andare a comprare qualcosa per alleviare il dolore.",0,0,1,1,0,4,0,1,4,3
"672","Mi vesto di fretta con una tuta comoda e mi reco alla farmacia più vicina del campus.",0,2,0,0,0,0,0,0,0,0
"673","La farmacia si trova accanto a un piccolo bar dove pranzo spesso con gli altri, ne osservo l‘interno attraverso la vetrata e noto Matt all‘interno.",0,0,1,0,0,0,0,1,1,2
"674","Decido di avvicinarmi per salutarlo, ma cambio direzione non appena noto che è in compagnia di una ragazza bionda.",0,0,0,0,0,0,0,0,0,1
"675","Ecco qual è la faccenda che doveva sbrigare, ormai mi sento anche stanca di arrabbiarmi con lui.",0,0,0,0,0,0,0,0,0,0
"676","È fatto così: sono io che dovrei stargli alla larga invece di restar male per ogni sua mancanza.",4,0,2,4,0,5,0,1,7,0
"677","Sono gelosa, devo ammetterlo a me stessa.",0,0,0,0,0,0,0,0,0,0
"678","Provo un fastidio allo stomaco, ma non è dovuto all‘influenza adesso.",3,1,3,2,0,1,0,1,6,2
"679","Non devo essere gelosa di qualcosa che non è mio, cerco di convincere me stessa di questo.",0,1,0,0,0,0,0,1,0,1
"680","Entro in farmacia, prendo le medicine che necessito e torno velocemente al mio appartamento.",0,0,0,0,0,0,0,0,0,0
"681","Non ho voglia di vedere nessuno, mi stendo sul letto e mi addormento perché sono davvero esausta.",0,0,0,0,0,0,0,0,0,0
"682","Mi sveglio di soprassalto a causa di un incubo.",1,0,2,2,0,1,1,0,2,0
"683","Guardo l‘orologio, sono le 21:00.",0,2,0,1,0,0,0,0,0,0
"684","Raggiungo le mie compagne in cucina e ceno insieme a loro.",0,0,0,0,0,0,0,1,0,1
"685","Addison mi racconta della notte che ha passato con Tyler, Violet storce il naso di fronte ai vari dettagli del resoconto della sua amica.",0,0,1,0,0,0,0,0,0,0
"686","Non capisco perché Addison continui a tornare da quel ragazzo che la fa soffrire, ma chi sono io per giudicare?",0,0,1,1,0,0,0,0,3,0
"687","Sono più o meno nella stessa situazione con Matt, anche se tra noi non è successo molto.",0,1,0,0,1,1,0,0,1,1
"688","Oh no, sto pensando di nuovo a lui.",0,0,0,0,0,0,0,0,1,0
"689","Non merita tutta questa attenzione da parte mia, devo toglierlo dalla mia testa in un modo o in un altro.",0,0,0,0,0,0,0,0,0,1
"690","Un boato fortissimo proveniente dalle mura del corridoio distoglie la mia attenzione dai miei pensieri.",0,0,0,0,0,0,0,0,0,1
"691","Vorrei ignorarlo, ma la mia curiosità innata mi spinge ad alzarmi per saperne di più.",0,0,0,0,0,0,0,0,0,0
"692","Apro la porta del mio appartamento, trovo Matt con gli occhi pieni di rabbia.",1,0,0,0,0,0,0,0,2,0
"693","La sua mano sta sanguinando, ha tirato un pugno fortissimo al muro dove c‘è una crepa profonda che squarcia l‘intonaco.",1,0,0,1,0,1,1,0,2,0
"694","Mi lancia un‘occhiata di ghiaccio, poi mi da le spalle come per nascondersi dalla mia vista.",1,1,0,1,0,0,0,0,1,0
"695","""Che sta succedendo?"" chiedo piano.""Niente!"" ribatte praticamente gridando, non capisco che motivo ci sia di prendersela con me quando mi sto soltanto preoccupando per lui.",0,1,0,0,0,0,0,0,0,1
"696","Non può trattarmi così, mi giro per rientrare nel mio appartamento.""Resta.."" dice poi a bassa voce, convinto che io non l‘abbia sentito.",0,0,0,0,0,0,0,1,0,1
"697","Mi volto e lo guardo per cercare di capire cosa stia passando per quella sua mente così complicata e contorta.",1,2,1,0,0,0,0,0,1,2
"698","La rabbia di poco fa ha lasciato il posto a un‘espressione triste, forse anche delusa, sul suo volto.",1,0,1,1,0,2,0,0,4,0
"699","Abbasso lo sguardo sulla sua mano, ha le nocche violacee e ricoperte da sangue.",0,0,0,0,0,0,0,0,0,0
"700","""Penso che dovresti medicarti"" indico la sua mano sospirando.",0,0,0,0,0,0,0,0,0,0
"701","""Vieni con me"" risponde, io lo seguo in casa sua perché voglio sapere che cosa lo ha portato ad agire così.",0,0,0,0,0,0,0,0,0,0
"702","Si fascia la mano con una benda bianca, sembra non provare nulla, neanche il minimo dolore.",0,1,0,2,0,4,1,0,5,0
"703","Vorrei tanto scoprire cosa sia stato a causare quest‘attacco di rabbia, ma ho quasi timore di chiederglielo.",2,0,0,1,0,0,1,0,3,0
"704","Ryan e Quinton mi salutano con un cenno e rientrano nelle loro stanze, sembra che anche loro vogliano evitare la rabbia del loro amico.",1,0,0,2,1,0,0,1,4,1
"705","Forse loro sanno cosa è successo a Matt, potrei chiedere a loro senza rischiare una sfuriata da parte di lui.",0,1,0,0,1,0,0,0,0,1
"706","Seguo il ragazzo dagli occhi di ghiaccio nella sua stanza mentre nella mia mente continuano a frullare una serie di domande e quesiti.",0,0,1,0,0,0,0,1,1,1
"707","""Cosa è successo?"" domando curiosa, non riesco proprio a trattenermi.""Niente!"" risponde freddo.",0,1,0,0,1,0,0,0,2,1
"708","""Se hai intenzione di trattarmi così tutto il tempo me ne vado"" sbotto irritata.",0,1,0,0,0,0,0,0,0,0
"709","""Okay okay te lo dico, è solo che sei davvero irritante quando insisti.",1,0,1,0,0,0,0,0,1,0
"710","Se proprio ci tieni, ti dirò cosa è successo"" replica, adesso non sembra più essere infastidito.",0,1,0,0,1,0,0,0,0,1
"711","Allora gli fa piacere che io sia qui?",0,0,0,0,0,0,0,0,0,0
"712","In fondo è stato lui a chiedermi di tenergli compagnia.""I miei genitori sono sempre stati sull‘orlo di una crisi coniugale, ma lavorando entrambi tanto insieme sono riusciti a restare uniti per un bel po‘"" i suoi occhi si fanno cupi.",0,0,0,0,0,1,0,1,2,1
"713","""Immaginavo che prima o poi si sarebbero separati, ma mi sta bene così perché voglio che siano felici anche se la loro felicità sottintende il proseguire le proprie vite seguendo strade diverse"" continua, il tono della voce duro.",0,0,0,0,0,0,0,0,0,0
"714","""Mia madre ha tradito mio padre, ed è stato il mio fratellino di dieci anni a trovarla a letto con uno dei suoi dipendenti"" sputa tutto d‘un fiato, sembra così amareggiato e deluso.",1,1,1,0,1,2,0,2,2,1
"715","Non so cosa dire per cercare di farlo sentire meglio, si trova davvero in una brutta situazione.",0,2,0,0,0,0,0,0,0,1
"716","È così lontano dalla sua famiglia, non può fare nulla: di certo si sentirà impotente.",1,0,1,1,0,1,0,0,2,1
"717","Mi limito ad abbracciarlo e ad affondare la testa nel suo collo.",0,0,0,0,0,0,0,0,0,0
"718","Ricambia l‘abbraccio e mi stringe a sé.",0,0,0,0,1,0,0,1,0,1
"719","Rimarrei così per ore, sto bene fra le sue braccia.",0,0,0,0,0,0,0,0,0,0
"720","Adoro il suo profumo di menta.",0,0,0,0,0,0,0,0,0,0
"721","Purtroppo mi torna in mente la scena di stamattina, quella di Matt insieme a quella bionda.",0,0,0,0,0,1,0,1,1,2
"722","È andato via da casa mia per passare il tempo con quella ragazza, la mia mente interviene a ricordarlo alla parte piu irrazionale di me.",0,1,1,1,0,0,0,0,1,1
"723","Mi irrigidisco, il suoi occhi di ghiaccio sembrano notarlo.""E tu cos‘hai?"" domanda abbozzando un sorriso, in questo momento non me la sento proprio di affibbiargli i miei problemi.",1,1,0,0,2,0,2,2,1,3
"724","Vorrei dirgli la verità, vorrei dirgli che mi sento usata da lui, ma non mi sembra questo il momento adatto.",0,1,0,0,1,0,0,1,0,4
"725","Finiremmo solo per litigare.",1,1,1,1,0,1,0,0,1,0
"726","Sono sicura che se gli dicessi ciò che penso mi riderebbe in faccia, decido di non dire nulla.",0,0,0,0,0,0,0,0,0,0
"727","""Niente, è solo l‘influenza.",0,0,0,1,0,0,0,0,3,2
"728","Non mi sento ancora molto bene"" mento, fortunatamente lui sembra credere alla mia bugia.",1,0,1,0,0,1,0,0,1,1
"729","""Ti va di restare?"" domanda Matt cogliendomi di sorpresa per l‘ennesima volta.",1,0,0,1,1,0,1,0,1,2
"730","Una parte di me sa che sarebbe meglio declinare il suo invito, ma la mia bocca si muove prima che io possa ragionare.",0,1,0,0,0,0,1,0,0,1
"731","""Okay"" rispondo di getto.",0,0,0,0,0,0,0,0,0,0
"732","Ci mettiamo a vedere un film, nessuno dei due parla.",0,0,0,0,0,0,0,0,0,0
"733","La mia testa è appoggiata sulla sua spalla, il suo braccio è attorno al mio busto e con l‘altra mano mi accarezza la schiena.",0,0,0,0,0,0,0,1,0,1
"734","Cerco di godermi questo momento senza pensare a nulla, ma so bene che da domani ricomincerà a ignorarmi.",0,2,0,0,0,0,0,0,0,0
"735","Ne sono sicura.",0,0,0,0,0,0,0,0,0,0
"736","Le mie palpebre si fanno sempre più pesanti, mi addormento contro il petto di Matt.",1,0,0,0,0,0,0,0,1,0
"737","Non appena apro gli occhi, incontro uno sguardo di ghiaccio che mi osserva.",1,0,0,0,0,0,0,0,1,0
"738","""Dobbiamo parlare"" mi coglie di sorpresa.",0,0,0,1,1,0,1,0,0,2
"739","Cosa vorrà dirmi adesso?",0,0,0,0,0,0,0,0,0,0
"740","Poteva aspettare almeno che io mi alzassi dal letto, mille domande cominciano a tormentarmi.",0,2,0,0,0,0,1,1,1,1
"741","Sono ancora assonnata, non riesco a formulare una frase di senso compiuto perfino finisco per non rispondergli.",0,0,0,0,1,0,0,0,0,3
"742","""Mi hai sentita?"" domanda irritato.",1,0,0,0,0,0,0,0,1,1
"743","Ci risiamo.""Ti ho sentito, cosa c‘è?"" sbotto a mia volta.",0,0,0,0,0,0,0,0,0,0
"744","""Questo non deve più capitare"" il suo tono di voce è calmo, una calma quasi inquietante.",0,0,0,0,0,0,0,0,1,1
"745","""Questo cosa?"" sono confusa.",0,0,0,0,0,0,0,0,0,0
"746","""Dormire insieme, io non dormo con le ragazze.",0,0,0,0,0,0,0,1,0,1
"747","Mai più, capito Melissa?"" indica prima il suo petto e poi il mio, noto che il suo volto è totalmente inespressivo.",0,0,0,0,0,0,0,0,0,1
"748","""Non hai mai dormito con una ragazza?"" sono sorpresa e allo stesso tempo felice di essere stata la prima.",0,2,0,1,2,0,1,1,0,2
"749","Trattengo un sorriso perché, in fin dei conti, è stato davvero indelicato con me e la felicità lascia spazio a un senso di vuoto.""No, e non ho intenzione di dormire di nuovo con te.",0,1,0,0,2,2,2,3,2,3
"750","È successo già troppe volte""  il sorriso sul mio volto scompare, al suo posto affiora un‘espressione delusa e mesta.",0,2,0,0,3,0,2,2,0,3
"751","""Sai che ti dico?",0,0,0,0,0,0,0,0,0,0
"752","Mi hai stufato davvero"" mi alzo e sbatto la porta della sua stanza ancora una volta.",0,0,0,0,0,0,0,0,0,1
"753","In salone incrocio Ryan, mi guarda con aria perplessa.",0,0,0,0,0,0,0,0,1,0
"754","Sento un boato che proviene dalla stanza di Matt, lo ignoro.""Che succede?"" domanda Ryan confuso.""Te lo spiego in un altro momento"" ribatto irritata e corro nel mio appartamento.",1,0,0,0,0,0,0,0,2,1
"755","No vorrei risultare scorbutica, ma proprio non me la sento di parlare di Matt ora.",0,0,0,0,0,0,0,0,1,1
"756","Fra un‘ora iniziano le lezioni, faccio una doccia veloce.",0,0,0,0,0,0,1,0,1,2
"757","Spero di non arrivare in ritardo e di non dovermi subire una ramanzina da parte del professore.",1,1,1,1,0,1,0,0,4,0
"758","Indosso di fretta un paio di leggins di pelle, una t - shirt bianca oversize e le mie solite sneakers bianche.",0,2,0,0,0,0,0,0,0,0
"759","Non ho tempo per truccarmi, sistemo i capelli e corro verso l‘edificio dove si svolgono le lezioni.",0,1,0,0,0,0,0,0,0,0
"760","Arrivo in aula poco prima del professore fortunatamente, posso finalmente tirare un sospiro di sollievo.",0,2,0,0,0,0,0,0,0,2
"761","Prendo posto velocemente a uno dei banchi, non mi rendo conto di essermi seduta accanto a Matt finché non sento il suo profumo di muschio e menta.",0,0,0,0,0,0,0,1,0,0
"762","Cerco di osservarlo con la coda dell‘occhio, nemmeno mi guarda naturalmente.",0,0,0,0,0,0,0,0,0,0
"763","Decido di ignorarlo anche io, non merita un trattamento diverso da me.""Dopo la lezione ci vediamo sul retro dell‘edificio"" sbotto nervosa, non sopporto questo silenzio glaciale fra di noi e voglio mettere un punto alla situazione.",0,1,0,0,0,0,0,1,2,3
"764","""No"" risponde calmo.",0,0,0,0,0,0,0,0,1,0
"765","""Non è una proposta, è un ordine idiota!"" mi sorprendo delle mie stesse parole.",2,0,2,0,0,0,0,0,3,1
"766","""Non alzare la voce, qualcuno potrebbe sentire.",0,0,0,0,0,0,0,0,0,0
"767","Se la smetti di infastidirmi potrei valutare la tua proposta"" il suo tono di voce è duro, alzo gli occhi al cielo.",0,0,0,0,0,0,0,0,0,1
"768","- Finita la lezione vado nel piccolo giardino dietro l‘edificio di economia, so che Matt mi sta aspettando lì perché alla fine ha deciso di acconsentire alla mia proposta.",0,1,0,0,1,0,0,2,1,2
"769","""Allora cosa vuoi?"" sputa acido.",0,0,0,0,0,0,0,0,1,0
"770","""Sono stufa dei tuoi cambi d‘umore, sono stufa di te e di questa situazione senza né capo nè coda"" sbotto a mia volta.",0,0,0,0,0,0,0,1,0,2
"771","""Non puoi trattarmi in quel modo.",0,0,0,0,0,0,0,0,0,0
"772","Non puoi ignorarmi ogni volta che succede qualcosa fra di noi"" aggiungo, le parole continuano a uscire dalla mia bocca con rabbia.",2,0,0,0,0,0,1,0,3,0
"773","Punta i suoi occhi di ghiaccio nei miei, non dice una parola.",0,0,0,1,0,0,0,1,0,1
"774","""Non sei in grado di parlare?"" domando irritata dal suo atteggiamento.",0,0,0,0,0,0,0,0,0,1
"775","""Non ho nulla da dire"" ribatte con una calma che mi sta dando sui nervi, sta mettendo a dura prova la mia pazienza.",0,1,0,0,0,0,0,2,0,3
"776","""Anzi ti spiego come stanno le cose.",0,0,0,0,0,0,0,0,0,0
"777","Avevo bisogno di una distrazione e sei capitata tu, ma sarebbe andata bene una qualsiasi ragazza"" continua divertito.",1,1,0,0,1,0,0,0,2,1
"778","Sento le lacrime che minacciano di uscire da un momento all‘altro, le sue parole mi hanno colpita come un pugno dritto allo stomaco.",2,0,1,1,0,1,1,0,2,0
"779","Non piangerò davanti a lui, non gli permetterò mai più di avere tutto questo potere su di me.",0,0,0,0,0,0,0,0,0,0
"780","Gli do le spalle per impedirgli di capire cosa mi stia succedendo.""Hey"" il suo tono si addolcisce, sento i suoi passi che si avvicinano a me.""Non ti avvicinare, voglio essere lasciata in pace.",1,1,1,0,1,0,0,1,1,1
"781","Anzi, puoi andartene?"" la voce mi trema.",0,0,0,0,0,0,0,0,0,0
"782","Ovviamente non mi da ascolto, si avvicina sempre di più.",0,0,0,0,0,0,0,0,0,0
"783","""Cosa vuoi da me?"" domando con la voce rotta.",0,0,0,0,0,0,0,0,1,0
"784","Mi alza il mento con la sua mano, porta i miei occhi all‘altezza dei suoi.",0,0,0,0,0,0,0,0,0,0
"785","Mi guarda in modo dolce, forse non mi ha mai guardata così.",0,1,0,0,1,0,1,1,0,1
"786","I suoi occhi si posano sulle mie labbra, io non riesco a fare a meno di guardare le sue.",0,0,0,0,0,0,0,0,0,0
"787","Mi attira a sé con un movimento veloce e mi bacia, come se fosse il gesto più naturale del mondo.",0,0,0,0,0,0,1,0,0,2
"788","Con la lingua chiede l‘accesso alla mia bocca, comincia a baciarmi dolcemente mentre la sua lingua accarezza piano la mia.",0,1,0,0,0,0,1,0,0,0
"789","Il bacio si fa sempre più passionale, mi stringe ancora di più a se.",0,1,0,0,1,0,1,0,0,2
"790","Allaccio le braccia dietro al suo collo, i nostri corpi aderiscono perfettamente.",0,0,0,0,0,0,0,0,0,0
"791","Si stacca un secondo da me, mi guarda intensamente poi riprende a baciarmi con più passione di prima:",0,1,0,0,1,0,0,1,0,1
"792","come se non desiderasse niente altro che le mie labbra.",0,0,0,0,0,0,0,0,0,0
"793","Con una mano mi tiene un fianco, l‘altra l‘appoggia sul mio viso.",0,0,0,0,0,0,0,0,0,0
"794","Mi morde delicatamente il labbro inferiore trattenendolo per un‘istante fra i suoi denti.",1,0,0,1,0,3,0,0,3,0
"795","Sono completamente persa nel suo bacio, i brividi pervadono il mio corpo.",0,1,0,0,1,0,1,1,0,3
"796","Si stacca da me e il suo sguardo si fa nuovamente duro.""È tutto così sbagliato"" mormora mentre si mordicchia nervosamente il labbro inferiore.",1,0,0,2,0,3,0,0,5,0
"797","Non capisco, cosa è sbagliato?""",0,0,0,1,0,0,0,0,2,0
"798","Vuoi che sia sincero con te?"" domanda.",1,0,0,0,1,1,0,2,1,3
"799","Mi limito ad annuire anche se comincio a temere per la sua possibile risposta.",0,0,0,0,0,0,0,0,0,0
"800","""Sono spaventato da te, sono dannatamente spaventato da quello che sono quando sono insieme a te"" confessa.",0,0,0,1,0,0,1,1,1,1
"801","Continuo a non capire.",0,0,0,0,0,0,0,0,0,0
"802","""Devo andare"" mi guarda intensamente e se ne va.",0,0,0,0,0,0,0,0,0,0
"803","Non dico nulla, lo lascio andare via.",0,0,0,0,0,0,0,0,0,0
"804","Resto lì, con mille domande che mi tormentano.",0,0,0,0,0,0,0,0,0,0
"805","Sono quattro giorni che non vedo Matt a lezione, possibile che mi stia evitando ancora una volta?",1,1,1,1,0,0,0,1,1,2
"806","Non ha mai saltato le lezioni, e se gli fosse successo qualcosa?",0,1,0,0,1,0,0,0,0,1
"807","Queste domande continuano a tormentarmi durante la lezione di diritto commerciale, non riesco proprio a concentrarmi su niente che non sia quel ragazzo dagli occhi ghiacciati come il polo artico.",0,1,1,0,0,0,0,1,1,1
"808","""Ryan ma che fine ha fatto Matt?"" domando a bassa voce al ragazzo seduto accanto a me.""Non te lo ha detto?"" chiede lui.",0,0,1,0,0,0,0,2,1,0
"809","Scuoto il capo, ovviamente non abbiamo più parlato dalla volta in cui mi ha baciata e poi è praticamente scappato via da me.""È tornato dalla sua famiglia perché il padre gli ha chiesto di stare vicino a suo fratello per un po‘"" mi spiega Ryan.""Tornerà?"" chiedo.",0,1,0,0,0,0,0,4,0,5
"810","Deve tornare, ho bisogno di vederlo e di parlare con lui.",0,0,0,0,0,0,0,0,0,1
"811","Anche se, pensandoci bene, non credo che riuscirò mai  ad ottenere delle vere risposte da lui.",0,0,0,0,0,0,0,0,0,0
"812","""Certo, ma non so quando sinceramente"" risponde Ryan.",0,0,0,0,0,0,0,0,0,0
"813","Spero che torni il prima possibile, io e Matt dobbiamo almeno provare a  parlare e a fare il punto della situazione.",0,0,0,0,0,0,0,0,0,1
"814","- Passano altri giorni, è Sabato, ma di Matt non c‘è nessuna traccia.",0,1,0,0,0,0,0,0,0,0
"815","Mi piacerebbe scrivergli che mi manca e che non faccio altro che pensare a lui, ma non ho il coraggio di chiedergli nemmeno come sta e come stiano andando le cose con la sua famiglia.",0,0,0,0,0,0,0,0,0,6
"816","Ho scritto cento messaggi sulle note del mio telefono, forse anche qualcuno in più, ma non ho trovato il coraggio di inviarglieli.",0,0,0,0,1,0,0,1,0,6
"817","Li ho cancellati ogni volta, come se servisse a cancellare lui dalla mia mente.",0,0,0,1,0,1,0,0,2,1
"818","Non mi resta altro che aspettare il suo ritorno, che poi avrò il coraggio di parlargli?",1,2,0,0,0,0,1,1,2,6
"819","Quel ragazzo fa uscire il lato insicuro di me che per anni ho cercato di limare e reprimere, lo odio per questo.",3,0,3,3,0,3,0,0,5,0
"820","Devo ammettere però che quello che provo quando lo bacio, non l‘ho mai provato con nessuno.",0,1,0,0,1,0,1,0,0,1
"821","Mi spaventa come mi fa sentire.",0,0,0,0,0,0,0,0,0,0
"822","- Come ogni Sabato, stasera ci sarà una festa, ma non ho molta voglia di andare.",0,1,0,0,1,0,1,0,0,1
"823","Addison e Violet mi hanno praticamente costretta ad andare con loro.",0,0,0,0,0,0,0,0,0,0
"824","Sono in bagno e mi sto preparando.",0,0,0,0,0,0,0,0,0,1
"825","Indosso un vestito corto con la base color carne e delle rose rosse disegnate sopra, è molto aderente e ha una profonda scollatura sul petto.",0,0,1,0,0,0,0,1,0,0
"826","Decido di indossare un paio di anfibi neri in finta pelle, ho bisogno di bere e con i tacchi rischierei di farmi male cadendo.",4,0,2,4,0,5,0,1,8,0
"827","""Ci stanno aspettando i ragazzi di sotto"" grida Addison dal salone.",0,0,0,0,0,0,0,0,1,0
"828","La raggiungo e scendiamo dai ragazzi per non farli attendere ancora a lungo.",0,2,0,0,0,0,0,0,0,1
"829","Addison e Violet salgono in macchina con Tyler e Mattia.",0,0,0,0,0,0,0,1,0,0
"830","Io vado in macchina con Ryan e Quinton, quasi spero di riuscire ad avere qualche informazione su Matt.""Non avete notizie di Matt?"" domando ai ragazzi senza perdere troppo tempo in altre chiacchiere, Quinton ridacchia.",2,1,1,1,0,2,1,1,2,0
"831","""Che c‘è di manca il tuo Matt?"" mi prende in giro in modo affettuoso.",0,0,0,0,0,0,0,0,0,0
"832","""Voglio solo sapere quando torna!"" insisto cercando di sembrare vaga.",0,0,0,0,0,0,0,0,0,0
"833","""Sarebbe dovuto tornare stasera, ma a questo punto credo che lo farà domani"" mi risponde finalmente Ryan.",1,3,1,1,0,1,0,1,1,0
"834","Stasera voglio divertirmi e non pensare a nulla, domani rifletterò su cosa dirgli quando potrò avere un confronto con lui.",0,2,0,0,0,0,0,0,0,0
"835","Entriamo nella villa dove si svolge la festa, il proprietario è Mark, il ragazzo biondino che mi ha baciato giocando a Suck and Blow due settimane fa.",0,1,1,0,1,0,1,0,1,1
"836","C‘è una massa di persone che si muove a ritmo di musica al centro del salone, io e i miei amici ci facciamo strada per arrivare al bancone degli alcolici.",0,1,0,0,1,1,0,1,1,2
"837","""Non ti piace prendere parte alle feste da sobria?"" ridacchia Ryan mentre ordino tre shot di gin.",0,0,0,0,0,0,0,0,0,0
"838","""Tre bicchieri anche per il ragazzo!"" ordino al barman, faccio la linguaccia a Ryan.",0,0,1,0,0,0,0,0,1,0
"839","Io e Matt siamo tornati ad essere due sconosciuti.",0,0,0,0,0,0,0,0,0,0
"840","Non parliamo da giorni, neanche ci salutiamo.",0,0,0,0,0,0,0,0,0,0
"841","Quando ci incontriamo da qualche parte, ci fissiamo per pochi secondi poi ognuno continua per la sua strada come se non ci conoscessimo.",0,0,0,0,0,0,0,0,0,0
"842","Non lo ammetto neanche con me stessa, ma in fondo vorrei mancargli almeno un po‘.",0,0,0,0,0,1,0,0,1,0
"843","Mi chiedo se il suo pensiero ogni tanto vaghi su ciò che è successo fra di noi e ci ho provato a dimenticarlo, ma non è così semplice.",0,2,0,0,1,0,0,0,0,1
"844","Non so perché io mi ostini a continuare a cercarlo in mezzo agli altri, continuo a cercare i suoi occhi ghiaccio ovunque io mi trovi.",0,3,0,0,0,0,0,1,0,2
"845","Ha deciso di far finta di niente per l‘ennesima volta, ha scelto di fingere di non conoscermi.",0,0,0,0,0,0,0,0,1,1
"846","Non gli è mai importato nulla di me, ormai l‘ho capito e avrei dovuto farlo molto prima.",1,1,1,1,0,1,0,1,1,0
"847","""Meli devi alzarti dal letto o farai tardi a lezione!"" Addison spalanca la porta della mia stanza risvegliandomi dai miei pensieri.",0,1,0,0,0,0,0,1,0,1
"848","Mi alzo dal letto e mi infilo nella doccia fredda, è l‘unico modo per svegliarmi del tutto.",0,0,0,0,0,0,1,0,1,1
"849","Indosso una semplice t - shirt con un paio di jeans, mi pettino i capelli e corro in cucina per fare colazione.",0,0,0,0,0,0,0,0,0,1
"850","- Durante la lezione sorprendo più volte Matt a guardarmi, ma ogni volta distoglie lo sguardo immediatamente come se restasse scottato da me.""Sono stufo"" lo stento sbuffare.",0,1,0,0,0,0,0,1,0,1
"851","Si alza e se ne va dalla lezione, Mattia mi guarda e scrolla le spalle.",0,1,0,0,0,0,0,1,0,1
"852","Deduco che neanche lui sappia cosa stia passando per la testa del suo amico.",1,0,1,0,1,0,0,1,1,1
"853","Decido di seguirlo senza farmi notare da lui, la mia curiosità mi spinge di continuo a compiere gesti avventati.",0,0,0,0,1,0,0,0,0,1
"854","Se ne sta appoggiato a un muretto, si passa una mano fra i capelli per sistemarli.",0,0,0,0,0,0,0,0,0,0
"855","Come non detto, mi ha vista.""Mi hai seguito?"" domanda mentre mi squadra attentamente, mi sta studiando come se fossi una strana creatura che si è palesata all‘improvviso di fronte ai suoi occhi.""Oh, noto con piacere che hai deciso di farci un taglio con la storia del dovermi ignorare ad ogni costo"" sbotto.",2,0,2,2,0,1,1,2,4,2
"856","""No, ricomincerò a farlo.",0,0,0,0,0,0,0,0,1,0
"857","In realtà vorrei semplicemente sapere perché mi hai seguito"" ribatte calmo come se niente potesse turbare la sua perenne quiete che ormai ho capito essere soltanto apparente.",0,0,0,0,0,0,0,0,0,0
"858","""Sei un idiota"" me ne vado.",1,0,2,0,0,0,0,0,2,0
"859","Lo sento ridacchiare, ma non mi giro neanche.",0,1,0,0,1,0,1,1,0,1
"860","- Sono le quattro, ho appena finito di studiare e sto tentando di trovare un film da vedere per distrarmi dal garbugliò di pensieri che affolla la mia mente.",0,0,0,0,0,0,0,0,0,1
"861","""Meli devo chiederti un favore enorme!"" se ne esce Addison, deve perdere il vizio di spalancare la mia porta senza bussare.",2,0,1,1,0,2,1,0,2,0
"862","""Puoi fare la spesa al mio posto?",0,0,0,0,0,0,0,0,1,0
"863","Ho troppo da studiare, altrimenti non ti domanderei mai di andarci"" mi chiede.",0,0,0,0,0,0,0,0,0,0
"864","""Va bene, ma la prossima volta vai tu al mio posto"" cerco di contrattare ridacchiando.""Grazie, certo!"" mi abbraccia come se le avessi appena risolto un problema enorme.",0,0,0,1,0,1,0,0,1,0
"865","Indosso un paio di leggins neri e una felpa rossa corta che lascia intravedere l‘addome.",0,0,0,0,0,0,0,0,0,0
"866","Non appena esco dal palazzo, incontro proprio la biondina che ha baciato Matt alla festa.",1,1,0,0,1,0,1,0,1,1
"867","""Dove stai andando?"" le domando anche se la risposta è ovvia, in realtà non so neanche perché io la abbia fatto.""Da Matt, si rifiuta di parlare con me, ma gli basterà vedermi per cambiare idea"" ridacchia altezzosa.",0,0,0,0,0,0,0,1,0,1
"868","Chissà perché Matt non ha voglia di vederla, immagino che avrà usato anche lei come ha fatto con me.""Non credo, ti ha baciata solo per farmi un torto.",0,0,0,0,0,0,0,1,0,0
"869","Stiamo insieme e l‘ho tradito, voleva solo vendicarsi"" le parole escono dalla mia bocca senza il mio controllo, tento di farla arrabbiare per impedire di andare da lui.",1,0,0,0,0,0,1,1,1,1
"870","La bionda mi guarda perplessa.",0,0,0,0,0,0,0,0,0,0
"871","""Siamo tornati insieme, ecco perché non vuole vederti"" le faccio l‘occhiolino cercando di sembrare convinta.",0,0,0,0,0,0,0,1,0,1
"872","La ragazza ha creduto alla mia storia, si gira e se ne va borbottando qualcosa di incomprensibile.",0,0,0,0,0,0,0,1,2,0
"873","Sono soddisfatta della mia fantastica prova di recitazione, in effetti non ho mai pensato di intraprendere una carriera da attrice.",0,1,0,0,0,0,0,1,0,1
"874","Ridacchio fra me e me per lo strambo carattere che hanno assunto i miei pensieri.",0,0,0,1,0,0,0,0,1,0
"875","Mi dirigo verso il supermercato, faccio la spesa in velocità e torno a casa entro l‘arco di un‘ora.",0,0,0,0,0,0,0,0,1,0
"876","Le buste sono davvero pesanti, quindi decido di prendere l‘ascensore per non fare uno sforzo inutile.",0,0,0,0,0,0,0,0,1,1
